location_name,state,latitude,longitude,metric,target_year,baseline_start_year,baseline_end_year,target_value,baseline_avg_value,delta_value,status
Chicago,Illinois,41.85003,-87.65005,days_above_90f,2021,2011,2020,12,6.1,5.9,completed
Chicago,Illinois,41.85003,-87.65005,days_below_32f,2021,2011,2020,112,109.6,2.4000000000000057,completed
Chicago,Illinois,41.85003,-87.65005,days_above_90f,2022,2011,2020,9,6.1,2.9000000000000004,completed
Chicago,Illinois,41.85003,-87.65005,days_below_32f,2022,2011,2020,114,109.6,4.400000000000006,completed
Chicago,Illinois,41.85003,-87.65005,days_above_90f,2023,2011,2020,5,6.1,-1.0999999999999996,completed
Chicago,Illinois,41.85003,-87.65005,days_below_32f,2023,2011,2020,89,109.6,-20.599999999999994,completed
Chicago,Illinois,41.85003,-87.65005,days_above_90f,2024,2011,2020,12,6.1,5.9,completed
Chicago,Illinois,41.85003,-87.65005,days_below_32f,2024,2011,2020,88,109.6,-21.599999999999994,completed
Houston,Texas,29.76328,-95.36327,days_above_90f,2015,2011,2020,58,65.8,-7.799999999999997,completed
Houston,Texas,29.76328,-95.36327,days_below_32f,2015,2011,2020,3,4.9,-1.9000000000000004,completed
Houston,Texas,29.76328,-95.36327,days_above_90f,2016,2011,2020,49,65.8,-16.799999999999997,completed
Houston,Texas,29.76328,-95.36327,days_below_32f,2016,2011,2020,0,4.9,-4.9,completed
Houston,Texas,29.76328,-95.36327,days_above_90f,2017,2011,2020,21,65.8,-44.8,completed
Houston,Texas,29.76328,-95.36327,days_below_32f,2017,2011,2020,5,4.9,0.09999999999999964,completed
Houston,Texas,29.76328,-95.36327,days_above_90f,2018,2011,2020,58,65.8,-7.799999999999997,completed
Houston,Texas,29.76328,-95.36327,days_below_32f,2018,2011,2020,12,4.9,7.1,completed
Houston,Texas,29.76328,-95.36327,days_above_90f,2019,2011,2020,56,65.8,-9.799999999999997,completed
Houston,Texas,29.76328,-95.36327,days_below_32f,2019,2011,2020,3,4.9,-1.9000000000000004,completed
Houston,Texas,29.76328,-95.36327,days_above_90f,2020,2011,2020,56,65.8,-9.799999999999997,completed
Houston,Texas,29.76328,-95.36327,days_below_32f,2020,2011,2020,1,4.9,-3.9000000000000004,completed
Houston,Texas,29.76328,-95.36327,days_above_90f,2021,2011,2020,24,65.8,-41.8,completed
Houston,Texas,29.76328,-95.36327,days_below_32f,2021,2011,2020,8,4.9,3.0999999999999996,completed
Houston,Texas,29.76328,-95.36327,days_above_90f,2022,2011,2020,93,65.8,27.200000000000003,completed
Houston,Texas,29.76328,-95.36327,days_below_32f,2022,2011,2020,13,4.9,8.1,completed
Houston,Texas,29.76328,-95.36327,days_above_90f,2023,2011,2020,104,65.8,38.2,completed
Houston,Texas,29.76328,-95.36327,days_below_32f,2023,2011,2020,0,4.9,-4.9,completed
Houston,Texas,29.76328,-95.36327,days_above_90f,2024,2011,2020,66,65.8,0.20000000000000284,completed
Houston,Texas,29.76328,-95.36327,days_below_32f,2024,2011,2020,4,4.9,-0.9000000000000004,completed
Phoenix,Arizona,33.44838,-112.07404,days_above_90f,2015,2011,2020,153,166.1,-13.099999999999994,completed
Phoenix,Arizona,33.44838,-112.07404,days_below_32f,2015,2011,2020,10,4.5,5.5,completed
